[09/05/2023, 20:53:28] Comando Slash "/info" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:11:58] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:13:03] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:13:03] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:13:03] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:13:03] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:13:03] Comando Slash "/ping" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:14:58] Comando Slash "/pterostatus" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:14:58] Comando Slash "/pterostatus" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:14:58] Comando Slash "/pterostatus" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:14:58] Comando Slash "/pterostatus" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
[10/05/2023, 12:14:58] Comando Slash "/pterostatus" floodado pelo usuário ΩDrylian_BR/[16198]#5347(428660430412709889)
